"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","test_open","test","Wed Nov 20 15:31:31 GMT 2024","passed","Wed Nov 20 15:31:31 GMT 2024","TestHotel","test_hootel","",""
"","1","test_login","test","Wed Nov 20 15:31:35 GMT 2024","broken","Wed Nov 20 15:31:35 GMT 2024","TestHotel","test_hootel","",""
